ID,Score Question 1,Score Question 2,Score Question 3,Score Question 4,Score Question 5,Score Question 6,Score Question 7,Score Question 8,Score Question 9,Score Question 10,Score Question 11,Score Question 12,Score Question 13,Score Question 14,Score Question 15,Score Question 16,Score Question 17,Score Question 18,Score Question 19,Score Question 20,Score Question 21,Score Question 22,Score Question 23,Score Question 24,Score Question 25,Score Question 26,Score Question 27,Score Question 28,Score Question 29,Score Question 30,Score Question 31,Score Question 32,Score Question 33,Score Question 34,Score Question 35,Score Question 36,Score Question 37,Score Question 38,Score Question 39,Score Question 40,Score Question 41,Score Question 42,Score Question 43,Score Question 44,Score Question 45,Score Question 46,Score Question 47,Score Question 48,Score Question 49
Student 0081,1,2.3,1,1.5,2.9,3.8,5,1.9,1,1,1,2,1,5,1,5,2.6,1.6,2.9,1.8,2.5,2.5,2.5,1,2.7,1,1.9,1.8,5,1,1.8,1,3,2.5,5,3,1,3,3.7,1,2.3,4.2,2.5,1.9,3,4.3,1,2,1
Student 0082,1,1.7,1,1.5,2.8,2.9,2.8,1.9,1,0,1,1.5,1,4.1,1,4.4,2.7,1.2,0.0,1.6,2.6,2.5,2.0,1,2.5,1,1.3,1.2,3.9,1,1.7,1,2.2,2.7,3.2,2.7,1,2.1,3.9,1,2.0,2.9,1.9,1.8,2.0,4.4,1,1.6,1
Student 0083,1,2.2,1,1.9,1.9,3.2,3.8,1.6,1,1,1,1.2,1,3.2,1,4.7,2.2,1.4,2.2,1.6,2.3,2.6,2.6,1,1.8,1,1.6,1.9,4.3,1,1.3,1,2.1,2.8,2.8,1.7,1,1.7,4.0,1,2.3,2.3,1.6,1.6,2.1,3.0,1,1.2,1
Student 0084,1,0.6,0,0.7,1.1,1.9,0.8,0.4,0,0,0,0.4,0,1.9,0,0.9,0.7,0.3,1.1,0.7,0.3,0.7,0.2,0,3,0,0.1,0.8,1.3,0,0.9,0,0.8,0.8,0.5,1.2,0,0.8,2.2,0,0.2,1.3,1.0,0.8,1.0,1.8,0,0.4,0
Student 0085,0,2.4,1,1.8,2.6,0.9,3.9,0.0,0,1,1,1.2,1,4.3,1,3.2,2.3,1.5,2.5,1.4,2.2,2.7,2.6,0,2.4,1,1.1,1.2,4.3,1,1.8,1,2.1,2.4,3.8,2.4,1,2.1,3.4,1,2.1,4.5,1.8,0.0,2.6,3.6,1,1.7,0
Student 0086,1,1.1,1,0.7,1.0,2.9,2.0,1.3,0,0,1,0.8,0,3.0,0,2.5,1.6,0.6,1.9,0.7,1.8,0.9,1.5,1,1.4,1,1.0,1.2,1.5,1,0.6,0,1.8,1.9,2.5,1.4,1,1.0,2.1,0,1.1,2.9,1.7,1.1,1.5,1.8,0,0.9,1
Student 0087,1,1.1,0,0.4,3,0.8,1.0,0.3,1,0,0,0.4,0,1.6,0,1.8,0.9,0.7,0.5,1.0,1.0,0.9,1.5,0,0.8,0,1.0,0.3,5,0,0.7,0,0.7,1.2,1.7,0.4,0,0.8,0.9,0,0.6,2.0,1.6,1.3,0.6,1.9,0,0.3,0
Student 0088,0,0.0,1,1.7,2.4,4.3,0.0,1.8,1,1,1,1.6,1,4.7,1,4.4,2.0,1.3,2.2,1.3,1.9,2.4,2.7,1,2.0,1,0.0,1.9,4.0,0,1.7,1,2.6,1.7,4.5,2.6,1,2.5,4.6,1,2.7,4.6,2.5,1.2,1.7,3.8,1,1.5,1
Student 0089,0,1.6,0,1.3,1.2,1.9,2.4,1.2,0,0,1,2,0,3.2,1,3.3,1.3,0.7,1.6,1.4,1.0,1.1,1.3,1,1.8,1,1.3,0.7,1.7,1,1.1,1,3,2.2,2.2,1.2,0,2.1,2.8,0,2.1,1.8,1.2,0.9,1.4,2.7,1,1.2,1
Student 0090,1,1.1,0,0.4,0.6,1.6,2.7,0.4,1,0,0,0.8,1,2.6,0,1.0,1.3,0.5,1.6,0.4,0.7,1.4,1.4,0,1.6,1,2,0.9,2.2,1,0.9,0,0.8,1.4,2.0,1.0,0,1.5,1.8,0,1.6,2.3,0.9,0.7,0.7,1.2,0,0.4,1
Student 0091,1,2.3,1,1.6,2.0,4.9,3.8,2.0,1,1,1,1.9,1,4.9,1,5,2.7,1.6,2.6,1.8,2.0,2.2,2.7,1,2.9,1,1.4,1.6,3.7,1,1.3,1,2.5,2.9,3.4,2.2,1,2.8,4.6,1,2.6,3.4,2.2,2,2.1,3.6,1,1.8,1
Student 0092,1,0.5,1,1.1,1.6,3.1,3.2,1.3,1,1,1,1.7,1,3.2,1,2.7,1.9,1.1,1.6,1.4,1.8,2.0,2.1,1,2.5,1,1.3,1.5,3.1,1,1.6,1,1.6,2.7,4.4,2.2,1,2.6,4.6,1,2.3,4.4,2.5,1.2,2.6,2.7,1,1.1,1
Student 0093,1,2.4,1,0.0,0.0,3.0,3.6,1.7,1,0,1,1.6,1,3.9,1,4.4,2.5,1.6,1.6,1.1,2.0,1.8,2.5,1,2.2,1,1.3,1.3,3.3,1,1.7,1,2.6,2.2,3.9,1.9,1,1.6,4.3,1,2.3,2.7,1.9,1.3,2.0,3.5,1,1.2,1
Student 0094,0,1.1,0,0.3,0.6,0.7,1.2,0.1,0,0,0,0.6,0,0.8,0,2.1,0.3,0.8,0.6,0.8,1.3,1.1,0.8,0,0.8,0,0.4,0.1,1.9,0,0.9,0,0.3,0.6,0.8,0.7,0,0.7,5,0,0.4,1.0,0.3,0.3,0.5,1.0,0,0.9,0
Student 0095,1,3,1,1.5,2.8,5,3.9,1.9,1,1,1,1.9,1,4.0,1,4.8,2.5,1.7,3,2,3,3,2.2,1,2.8,1,2,1.5,4.6,1,1.8,1,3,3,4.8,2.9,1,2.6,4.8,1,0.6,3.9,3,2,3,5,1,1.7,1
Student 0096,1,2.5,1,1.4,2.7,4.2,3.4,1.6,1,1,0,1.8,1,4.8,1,4.6,1.7,1.5,2.4,1.4,2.0,1.8,2.6,1,2.2,1,1.3,1.9,3.4,1,1.8,1,2.7,2.3,3.0,2.0,1,2.8,3.3,1,1.8,3.9,2.8,1.6,2.8,4.8,1,1.5,1
Student 0097,1,2.3,1,1.4,2.5,2.5,2.2,1.3,1,1,0,1.4,1,2.3,1,2.4,2.0,1.2,1.9,1.1,1.8,1.7,1.5,1,1.8,1,1.4,1.1,3.4,1,1.0,1,2.2,1.9,3.0,1.4,1,1.9,2.2,1,1.5,3.2,1.7,1.2,2.5,3.4,1,1.1,1
Student 0098,0,1.1,0,0.3,0.2,1.2,1.6,0.1,0,0,0,0.1,0,1.8,0,1.1,0.4,0.3,0.7,0.2,0.8,1.1,0.1,0,0.8,0,1.2,0.2,0.6,0,0.4,0,0.8,1.0,1.2,0.3,0,0.5,1.0,0,0.1,0.3,0.4,2,0.9,0.7,0,0.5,0
Student 0099,1,2.0,1,1.5,0.0,2.9,3.4,1.2,1,1,1,1.4,1,3.5,1,3.0,2.3,1.6,1.6,1.2,2.3,1.3,2.4,0,2.4,1,1.6,1.0,0.2,1,1.6,0,2.2,1.7,3.1,2.0,1,2.0,4.0,1,2.5,0.0,2.4,1.4,2.0,3.0,1,1.4,1
Student 0100,0,0.6,0,0.1,0.4,1.3,1.6,0.1,0,0,0,0.6,1,0.0,0,0.0,0.6,0.5,0.4,0.3,0.3,1.0,0.5,0,0.9,0,0.6,0.1,0.5,0,0.1,0,0.1,0.9,0.1,0.7,0,0.1,1.6,0,0.9,1.7,0.0,0.0,0.5,0.0,0,0.2,0
Student 0101,0,1.4,1,1.1,1.0,3.3,3.1,1.1,0,0,0,0.8,0,1.8,0,2.6,1.4,0.7,1.2,1.2,1.6,2.0,1.1,1,1.9,0,1.3,0.9,3.3,0,0.8,1,1.5,1.2,1.8,1.9,1,1.4,2.3,1,1.0,3.0,1.9,0.6,1.9,2.4,1,0.6,0
Student 0102,1,1.0,0,0.9,1.1,1.2,5,0.8,0,0,0,1.0,0,2.0,0,2.4,0.4,0.5,1.3,0.5,0.5,0.7,0.7,0,1.3,0,0.7,0.5,1.7,0,0.9,0,0.8,1.0,1.0,1.0,0,1.3,1.3,0,1.3,2.2,1.3,1.2,0.8,1.6,0,0.8,0
Student 0103,1,3,1,1.6,2.2,4.1,3.9,1.5,1,1,1,1.7,1,5,1,5,3,2,3,1.8,2.6,2.4,2.7,1,2.6,1,2,1.9,5,1,2,1,2.2,3,4.5,2.8,1,3,5,1,3,4.8,3,1.7,2.8,3.8,1,2,1
Student 0104,1,3,1,1.5,2.3,4.7,5,2,1,1,1,1.5,1,5,1,5,3,2,2.4,2,2.4,3,3,1,3,1,2,2,5,1,1.6,1,2.3,2.8,4.5,3,1,2.7,3.9,1,2.3,4.0,3,1.7,2.4,4.3,1,2,1
Student 0105,1,3,1,1.6,3,5,5,2,1,1,1,2,1,4.8,1,5,2.8,1.9,2.4,2,2.8,2.5,3,1,3,1,1.8,2,5,1,2,1,2.8,3,5,3,1,3,5,1,3,4.9,2.6,2,2.7,3.9,1,2,1
Student 0106,0,0.3,0,0.3,0.4,1.8,0.4,0.9,0,0,1,0.6,0,1.4,0,2.1,0.2,0.2,0.7,0.9,0.3,0.8,1.2,0,0.3,1,0.6,0.3,2.8,0,0.4,0,0.2,0.6,0.5,1.0,0,3,1.5,0,1.0,1.8,0.6,0.9,0.3,1.6,0,0.4,0
Student 0107,0,0.9,0,0.6,1.2,1.3,0.1,0.3,0,0,0,0.1,0,0.2,0,0.4,0.7,0.6,0.2,0.7,0.7,3,1.1,0,0.6,0,0.2,0.3,0.7,0,0.4,0,0.4,0.8,1.1,0.4,0,1.6,0.3,0,0.9,1.9,1.1,0.3,0.6,0.6,0,0.0,0
Student 0108,1,2.9,1,1.7,2.2,4.0,3.9,2.0,1,1,1,1.6,1,4.3,1,3.5,2.3,1.9,3,1.5,2.2,2.0,2.7,1,3,1,1.6,1.4,3.3,1,1.8,1,2.7,2.4,3.3,2.0,1,2.4,4.9,1,2.4,4.7,2.5,1.7,2.0,4.3,1,1.5,1
Student 0109,1,2.4,1,1.4,1.8,2.4,3.6,1.8,1,1,1,1.3,1,4.5,1,3.1,2.4,1.3,2.0,1.3,2.3,2.7,3.0,1,2.2,1,1.3,1.8,3.8,1,1.9,1,2.7,3,3.6,2.2,1,2.9,4.8,1,2.3,4.7,3.0,1.5,2.3,3.3,1,1.9,1
Student 0110,0,1.9,0,0.7,1.1,1.7,2.1,1.3,0,1,1,1.4,1,3.0,0,2.2,1.7,1.2,1.1,0.9,1.3,2.0,1.2,1,0.9,0,0.6,1.0,1.8,1,1.1,1,1.1,1.7,3.2,1.5,0,1.7,3.0,1,1.9,2.1,1.6,1.3,1.9,1.8,1,0.8,1
Student 0111,1,2.9,1,1.7,2.9,4.9,4.0,2,1,1,1,2.0,1,4.1,1,3.6,2.3,1.7,2.3,1.9,2.5,1.9,3.0,1,2.3,1,1.2,1.4,3.3,1,1.6,1,2.5,2.9,4.5,2.0,1,2.5,3.1,1,2.9,3.4,2.3,2.0,2.9,0.0,1,1.8,1
Student 0112,1,2.5,1,1.8,2.1,4.7,3.3,1.4,1,1,1,1.8,1,4.0,1,4.1,2.3,2.0,2.8,1.4,1.8,2.5,2.0,1,1.9,1,1.5,0.0,3.8,1,1.4,1,1.9,2.5,4.5,2.8,1,3.0,4.9,1,2.6,3.8,2.3,2.0,2.8,4.0,1,1.3,1
Student 0113,0,0.6,1,0.4,0.5,1.7,1.5,0.6,0,0,0,0.7,0,0.3,0,2.0,0.7,0.5,0.5,0.7,0.8,3,0.4,0,0.8,0,0.9,0.8,0.6,0,0.5,0,1.0,0.5,2.2,0.5,0,1.3,1.2,0,1.0,0.3,0.9,0.8,0.5,0.4,0,2,0
Student 0114,1,2.6,1,1.8,2.1,3.5,4.2,1.5,1,1,1,1.6,1,3.7,1,3.7,2.1,1.2,2.0,1.3,2.0,2.7,1.9,1,1.9,1,1.6,1.6,4.1,1,1.8,1,0.0,2.3,4.1,2.0,0,2.6,3.2,1,2.6,3.9,2.8,1.3,2.0,3.0,1,1.6,1
Student 0115,1,3,1,2,2.5,5,5,2,1,1,1,1.6,1,5,1,4.2,3,1.8,3,1.8,2.7,3,2.3,1,3,1,2,2,4.8,1,1.9,1,3,2.7,5,3,1,3,5,1,3,5,3,2.0,2.3,4.3,1,2,1
Student 0116,1,2.4,1,1.7,2.9,4.1,5,1.9,1,1,1,1.9,1,4.9,1,3.5,3,1.5,2.5,1.9,3,2.6,2.1,1,2.5,1,1.6,1.1,3.6,1,1.4,1,2.4,2.3,5,3,1,3,4.0,1,2.9,5,3,1.4,3,4.8,1,1.7,1
Student 0117,1,2.6,1,1.7,3,3.5,4.3,1.9,1,1,1,1.6,1,4.1,1,4.6,2.6,2,2.9,1.9,2.8,3,2.5,1,2.9,1,2,1.6,4.4,1,1.9,1,2.4,2.5,4.5,2.2,1,2.9,4.5,1,2.9,4.3,3,1.7,3,4.9,1,1.6,1
Student 0118,1,2.2,1,1.2,2.5,3.0,3.6,1.8,1,1,1,1.9,1,4.2,1,4.3,2.8,1.3,2.1,1.6,2.6,2.2,2.5,1,2.0,1,1.0,1.2,4.0,1,1.3,1,2.6,2.0,3.1,2.4,1,2.1,3.0,1,2.2,4.1,2.8,1.3,2.2,4.4,1,1.3,1
Student 0119,1,2.9,1,1.5,2.6,4.6,4.5,1.7,1,1,1,1.8,1,4.1,1,5.0,2.8,0.3,3.0,1.4,2.6,2.3,2.8,1,2.4,1,1.7,1.6,3.3,1,0.0,1,2.8,2.6,4.6,2.2,1,3.0,4.1,1,2.6,3.4,2.3,1.9,2.6,5,1,1.8,1
Student 0120,0,0.8,0,0.0,0.5,1.5,0.0,0.5,0,0,0,0.0,0,0.0,0,0.0,0.3,0.0,0.2,0.6,0.7,0.0,0.6,0,0.2,0,0.4,0.2,1.6,0,0.5,0,0.3,0.0,0.3,0.2,0,0.8,1.1,0,0.6,0.2,0.0,0.0,0.7,0.9,0,0.5,0
Student 0121,1,2.4,1,1.5,2.5,3.3,4.1,1.8,1,1,1,1.7,1,2.7,1,0.3,1.7,1.5,1.8,1.7,2.0,2.3,2.6,1,1.7,1,1.5,1.1,3.3,1,1.6,1,1.7,2.2,2.7,2.4,1,1.6,4.3,1,2.2,4.4,1.9,1.7,2.0,2.9,1,1.4,1
Student 0122,1,2.9,1,2,1.7,3.4,4.8,1.6,1,1,1,2,1,4.5,1,3.4,2.7,1.6,3,2,2.2,0.0,2.8,1,2.5,1,1.8,1.4,4.6,1,2,1,2.6,2.1,5.0,3,1,2.0,4.5,1,3,5,2.4,1.9,2.7,4.3,1,2.0,1
Student 0123,1,1.9,1,1.7,2.0,2.7,3.2,1.4,1,1,1,1.6,1,2.5,1,3.1,2.6,1.3,1.7,1.5,2.2,2.6,2.0,1,2.2,1,1.4,1.4,2.7,1,1.2,1,2.3,2.5,3.3,2.2,1,2.0,3.7,1,2.4,2.8,2.5,1.2,2.1,4.1,1,1.7,1
Student 0124,0,1.0,0,0.5,1.0,1.7,0.9,0.5,1,0,0,1.0,0,0.8,0,0.9,1.3,0.6,3,0.9,1.2,0.5,0.8,0,1.2,0,2,1.0,0.7,0,0.3,0,1.4,1.4,1.0,1.2,0,1.2,5,0,1.2,0.8,0.5,0.8,1.1,2.0,0,2,0
Student 0125,0,1.8,0,1.6,2.3,2.7,3.4,1.5,1,1,1,1.6,1,3.3,0,3.6,2.2,0.9,2.3,1.4,0.6,0.0,1.6,1,1.4,0,1.0,1.1,2.9,1,0.9,0,1.8,1.7,4.0,2.4,1,1.5,3.6,1,1.6,3.4,1.7,0.9,1.8,3.7,1,0.9,0
Student 0126,1,2.6,1,2,2.6,3.9,5,2,1,1,1,2,1,5,1,4.2,3,2,3,2,3,3,3,1,3,1,2,2,5,1,2,1,3,2.8,4.1,3,1,3,4.0,1,3,5,3,2,3,4.8,1,2,1
Student 0127,1,2.6,1,1.7,2.3,3.2,3.5,1.3,1,1,1,1.7,1,3.1,1,4.0,2.5,1.2,2.2,1.4,2.1,2.7,2.5,1,2.7,1,1.9,1.5,3.9,1,1.2,1,2.9,2.3,3.7,2.3,1,2.8,3.3,1,2.3,4.3,2.4,1.5,2.1,4.0,1,1.9,1
Student 0128,1,2.1,1,1.7,2.9,4.3,4.4,1.8,1,1,1,1.7,1,4.1,1,0.0,3.0,1.5,2.5,1.4,3,2.2,2.3,1,2.5,1,1.3,2,4.7,1,1.9,1,3.0,3,3.4,2.0,1,2.9,4.4,1,2.1,4.1,2.2,2,2.2,4.9,1,2,1
Student 0129,0,0.3,0,0.5,0.9,0.8,1.5,0.1,0,0,0,0.6,0,0.4,0,0.0,0.3,0.5,0.8,0.3,0.0,0.2,1.0,0,0.1,0,0.7,0.6,1.4,0,0.6,0,0.7,1.0,1.4,0.7,0,0.4,0.1,0,1.5,0.9,0.8,0.6,0.6,1.5,0,0.1,0
Student 0130,1,3,1,2,2.7,4.4,5,2,1,1,1,1.6,1,5,1,5,3,2,2.3,2,3,3,3,1,3,1,2,1.6,4.0,1,1.8,1,2.9,3,4.0,3,1,2.6,3.8,1,3,4.1,3,2,2.5,5,1,1.5,1
Student 0131,0,1.7,0,0.9,2.3,2.7,2.9,1.0,1,0,0,0.6,0,2.1,0,2.0,1.7,0.9,1.1,0.9,1.1,0.7,0.7,1,1.2,1,0.8,0.6,1.1,0,0.8,0,1.2,0.7,1.9,0.9,0,1.7,2.3,0,1.8,2.6,0.7,0.7,0.7,1.2,1,0.9,0
Student 0132,0,0.6,0,0.1,0.0,1.1,0.0,0.2,0,0,0,0.0,0,0.0,0,0.0,0.5,0.4,0.6,0.0,0.2,0.4,0.4,0,0.3,0,0.5,0.1,0.7,0,0.1,0,0.4,0.0,0.0,0.2,0,0.7,1.4,0,0.6,2.0,0.5,0.1,0.3,1.5,0,0.3,0
Student 0133,1,3.0,1,2,3,3.9,5,2,1,1,1,2,1,5,1,4.2,2.8,2,2.2,2.0,3,2.7,2.6,1,2.3,1,2,2,3.7,1,2,1,2.6,2.8,4.6,2.3,1,2.6,4.4,1,3,5,2.7,2,2.7,5,1,2,1
Student 0134,1,2.2,1,1.5,1.8,4.2,2.9,1.6,1,1,1,0.0,1,3.2,1,3.0,2.5,1.5,2.6,1.6,2.2,2.3,2.5,1,2.8,1,1.4,1.5,4.4,1,1.5,1,1.9,2.0,3.7,2.7,1,2.5,4.1,1,0.4,3.3,2.4,1.7,2.5,3.2,1,1.8,1
Student 0135,1,3,1,2,2.9,5,5,1.8,1,1,1,1.9,1,4.2,1,4.9,3,1.8,3,2,3,3,3,1,2.4,1,2,2,5,1,1.7,1,2.4,2.6,5,3,1,3,5,1,2.8,4.7,3,1.9,2.6,5,1,2,1
Student 0136,1,1.6,0,0.8,1.3,1.7,2.2,1.2,0,0,0,1.0,1,2.2,0,3.2,1.5,1.0,1.5,1.3,1.2,1.0,3.0,1,1.4,1,0.7,1.1,2.6,0,1.1,1,1.0,1.5,2.3,1.4,0,1.5,1.8,1,1.6,3.4,1.5,0.7,1.9,1.9,0,1.1,1
Student 0137,1,1.8,0,1.3,1.8,3.7,3.8,1.7,1,1,1,1.3,1,3.9,1,3.5,2.6,1.1,2.1,1.1,2.3,1.8,2.0,1,2.5,1,1.8,1.7,2.7,1,1.6,1,1.7,2.7,3.0,1.6,1,2.4,2.7,1,1.9,4.5,1.8,1.3,1.1,3.0,1,1.4,1
Student 0138,1,0.0,1,1.4,2.6,3.8,4.3,1.3,1,1,1,1.3,1,4.8,1,4.2,2.9,1.4,1.8,1.6,2.0,1.8,2.4,1,2.6,1,1.9,1.5,3.4,0,1.8,1,2.9,2.6,4.7,2.7,1,2.5,4.3,1,2.4,3.3,2.2,2.0,0.0,4.6,1,1.5,1
Student 0139,0,2.2,0,1.4,2.5,2.5,3.4,1.5,1,1,1,1.6,1,2.3,1,2.5,2.4,1.4,2.1,1.6,1.7,2.3,2.4,1,2.4,1,1.6,1.1,2.5,1,1.0,1,1.7,1.4,3.6,2.0,1,1.7,3.6,1,1.4,3.8,0.0,1.4,2.6,2.9,1,1.0,1
Student 0140,1,2.9,1,1.8,2.0,4.4,3.5,1.4,1,1,1,1.3,1,4.3,1,4.1,1.8,1.5,0.0,1.3,1.8,2.6,2.6,1,2.7,1,1.7,0.0,3.6,1,1.3,1,1.9,2.6,2.9,2.6,1,2.4,3.8,1,2.7,3.3,2.6,1.3,2.4,3.9,1,1.2,1
Student 0141,1,2.7,1,1.8,3,5,3.9,1.7,1,1,1,2,1,5,1,5,2.6,2,2.9,2,2.8,2.2,2.3,1,3,1,1.5,1.8,5,1,2,1,3,2.2,5,3.0,1,2.9,5,1,2.3,4.4,2.6,2,3,5,1,2,1
Student 0142,1,3,1,2,3,5,4.7,2,1,1,1,2,1,5,1,5,3,2,3,2,2.6,3,2.4,1,2.4,1,2,1.5,4.1,1,2,1,3,3,5,3,1,3,5,1,3,5,3,2,3,5,1,2,1
Student 0143,0,1.6,0,1.0,1.0,2.1,1.8,0.6,0,0,0,0.7,0,5,0,2.7,1.4,0.6,1.3,1.0,0.9,1.4,1.3,0,1.7,0,0.7,0.5,2.3,0,0.9,1,1.5,1.7,2.1,0.8,0,1.3,1.4,0,2.0,5,1.4,0.7,0.8,1.3,1,0.9,0
Student 0144,1,2.1,1,1.9,2.8,3.3,4.7,1.7,1,1,1,0.8,1,4.9,1,4.2,2.8,1.6,2.2,1.6,2.5,2.1,3,1,2.3,1,2,1.7,4.2,1,1.4,1,2.2,2.2,4.1,2.0,1,2.9,3.6,1,2.7,3.7,2.3,1.3,2.7,5,1,2,1
Student 0145,0,1.0,1,0.7,0.8,1.5,2.0,0.9,0,0,0,0.8,1,1.2,0,1.7,1.2,0.4,0.9,0.6,1.9,1.4,1.4,0,1.3,0,0.5,0.7,2.8,1,0.8,1,0.8,1.0,1.1,1.7,1,1.5,1.4,0,1.6,2.8,1.4,0.7,1.7,1.3,0,1.0,0
Student 0146,1,2.2,1,1.7,3,3.8,5,2,1,1,1,2,1,5,1,4.6,2.7,2,3,1.7,2.4,2.4,2.6,1,3,1,2.0,1.6,5,1,1.6,1,3,2.8,4.9,2.5,1,3,3.7,1,3,5,3,2,2.6,4.5,1,2,1
Student 0147,1,1.9,1,1.3,1.7,4.7,4.2,1.4,1,1,1,1.3,1,3.6,1,4.8,2.2,1.7,2.5,1.8,1.9,1.7,2.6,0,2.8,1,0.0,1.3,4.3,1,1.7,0,2.5,2.4,2.9,2.9,1,2.1,3.5,1,1.9,4.2,2.5,1.8,1.8,4.4,1,1.3,1
Student 0148,1,2.9,1,1.5,2.4,3.7,4.8,1.7,1,1,1,1.5,1,3.4,1,4.8,2.3,1.9,2.6,2,2.5,2.7,2.2,1,2.0,1,1.9,2,4.0,1,1.5,1,2.0,2.3,4.7,2.7,1,2.7,5,1,2.4,3.2,2.7,1.3,0.0,4.7,1,1.5,1
Student 0149,1,2.1,1,1.4,2.4,3.5,4.1,1.7,1,1,1,1.2,1,3.2,1,3.9,2.1,1.2,1.9,1.6,2.3,0.6,2.4,1,2.5,1,1.8,1.3,4.7,1,1.4,1,1.9,1.8,4.3,0.0,1,2.4,4.5,1,2.0,4.7,1.8,1.7,2.5,2.8,1,1.2,1
Student 0150,1,3.0,1,1.9,2.8,4.9,4.1,2,1,1,1,1.7,1,5,1,5,3.0,2,3,2,3,3,2.4,1,3,1,2,1.9,5.0,1,2,1,3,3,4.3,2.3,1,2.4,5,1,2.4,4.0,3,2,3,5,1,1.9,1
Student 0151,0,2.3,1,0.0,1.6,3.6,4.6,1.8,0,1,1,1.2,1,2.8,1,4.5,2.4,0.0,1.8,1.6,2.3,2.6,1.6,1,2.5,1,1.1,1.6,3.9,0,1.2,1,2.0,1.8,4.5,2.6,1,2.7,3.2,1,2.1,4.6,2.5,1.4,2.6,2.7,1,1.5,1
Student 0152,1,2.4,1,2,2.8,5,4.3,2,1,1,1,2,1,5,1,4.9,3,2,2.6,2,3.0,2.7,3,1,3,1,2,2,5,1,2,1,3,3,5,3,1,3,5,1,3,5,3,2,3,5,1,1.8,1
Student 0153,1,2.2,1,1.5,2.9,3.7,4.8,1.5,1,1,1,1.8,1,4.8,1,4.6,2.9,2,2.2,2,3,2.1,2.7,1,3,1,1.5,1.6,5,1,1.6,1,3,2.8,4.3,2.8,1,2.4,5,1,2.2,4.0,2.4,1.8,3,5,1,1.8,1
Student 0154,1,2.8,1,2,3,5,5,2,1,1,1,2,1,5,1,5,2.5,2,3,2.0,2.9,3,2.7,1,3,1,2,1.6,5,1,1.8,1,3,3,4.9,3,1,3.0,5,1,3,5,3,1.9,3,4.3,1,2,1
Student 0155,1,2.2,0,2,1.8,3.3,1.8,2,1,1,1,0.8,0,2.0,1,2.9,2.3,1.1,1.6,0.8,2.2,1.4,1.3,1,2.1,0,0.8,1.5,3.8,0,1.2,1,1.9,1.1,2.2,1.9,1,1.1,2.8,0,1.4,3.0,2.0,0.9,1.3,2.2,0,1.4,0
Student 0156,1,2.6,1,0.0,1.7,3.5,3.6,1.7,1,1,1,1.5,1,4.2,1,4.0,2.2,1.8,1.9,1.2,1.9,2.5,2.1,1,1.6,1,1.1,1.5,3.3,1,1.4,1,1.6,2.6,1.8,1.8,1,2.0,2.8,1,2.5,4.1,2.1,1.4,2.2,3.6,1,0.0,1
Student 0157,0,1.2,0,0.4,0.4,1.5,0.6,1.0,0,0,0,0.5,0,0.7,0,1.1,0.7,0.6,0.5,0.5,0.7,1.2,1.1,0,3,0,0.9,0.2,4.3,0,0.3,0,0.6,0.7,1.2,1.2,0,1.0,0.9,0,0.3,2.2,0.4,0.4,0.3,5,0,0.6,0
Student 0158,0,0.6,0,0.0,0.3,1.2,1.0,0.4,0,0,0,0.3,0,0.0,0,1.0,0.2,0.5,0.1,0.0,0.0,0.0,0.0,0,0.9,0,0.0,0.4,0.2,0,1.4,0,0.7,0.5,1.2,0.5,0,0.0,0.0,0,0.4,1.5,0.1,0.6,0.7,0.3,0,0.4,0
Student 0159,1,2.2,1,1.7,0.0,3.0,4.2,1.5,1,1,1,0.0,1,3.7,1,3.4,2.9,1.8,2.2,1.7,2.8,1.7,2.7,1,2.6,0,1.2,1.9,2.5,1,1.3,1,2.6,2.8,4.3,2.4,1,2.1,3.7,1,2.2,4.6,2.4,1.2,2.1,4.7,1,1.8,1
Student 0160,1,0.1,1,1.2,2.5,4.0,4.1,1.6,1,1,1,1.7,1,3.5,1,3.9,0.0,1.3,1.6,1.1,2.7,0.0,2.4,1,2.4,1,1.6,1.6,3.0,1,1.1,1,1.9,2.1,4.3,2.2,1,2.4,4.1,1,2.5,2.6,2.1,1.2,2.5,4.3,1,1.3,1
Student 0161,1,3.0,1,2,3,5,5,2,1,1,1,2,1,3.7,1,3.7,2.3,1.8,3,1.6,3,2.0,2.1,1,3,1,1.5,1.4,3.4,1,2,1,2.2,3,3.3,2.9,1,2.7,3.5,1,2.8,4.2,3,2,2.0,3.4,1,2.0,1
Student 0162,1,2.0,1,1.8,2.9,4.6,0.4,1.4,1,1,1,1.5,1,3.5,1,3.6,2.0,1.8,2.9,1.6,2.5,2.9,3,1,2.5,1,1.9,1.6,4.9,1,1.3,1,2.4,3,4.8,1.9,1,3,3.6,1,2.1,3.6,2.2,1.9,3.0,5,1,1.7,1
Student 0163,1,1.2,1,0.8,2.1,1.8,3.5,1.2,1,0,1,0.8,1,2.1,1,3.0,1.3,1.5,1.4,0.9,1.6,1.4,2.1,1,1.9,0,1.0,1.0,2.2,0,1.1,0,1.2,1.7,4.2,1.3,1,1.3,2.1,1,1.2,3.0,1.5,1.0,1.7,2.4,0,1.3,0
Student 0164,1,0.9,0,1.3,1.8,2.7,2.8,0.7,0,0,1,0.6,0,1.7,0,2.7,1.8,0.8,1.4,0.6,2.0,1.8,1.4,1,1.4,0,1.1,1.2,1.8,0,0.6,0,1.4,1.5,2.8,1.0,0,1.8,1.8,1,1.9,1.8,1.5,1.2,1.2,3.1,1,0.9,0
